TAZ,CostIIF,CostXXF,CostIXF,CostHBW,CostHBO,CostNHB,CostREC,CostXXP,TimeDiff,TotalFreigh,TotalPass,TotalREC,TotalHBW,TotalHBO,TotalNHB,TotalItime,TotalBtime,TotalTDiff
7313,0,0,0,0,0,0,0,0,13213.04,0,0,0.02,25.27,79.49,22.47,193349065.8,193362278.9,115367395.5
7314,0,0,0,0,0,0,0,0,13213.04,0,0,0,0.78,2.72,0,193289966.1,193303179.2,115380608.5
7315,209.5732586,0,0,0,0,0,0,0,13213.04,1174.85,0,0.07,121.51,473.13,72.91,193290309.4,193303522.4,115393821.6
7316,0,0,0,0,0,0,0,0,13213.04,0,0,0,2.95,6.8,0.62,193273898.7,193287111.8,115407034.6
7317,12.77293678,0,0,0,0,0,0,0,13213.04,83.17,0,0.04,144.72,363.04,105.69,193269086.1,193282299.1,115420247.6
7318,12.77293678,0,0,0,0,0,0,0,13213.04,83.13,0,0.08,183.72,386.62,145.5,193264610.6,193277823.6,115433460.7
7319,0,0,0,0,0,0,0,0,13213.04,0,0,0.04,81.75,258.15,53.41,193273638.5,193286851.6,115446673.7
7320,277.3641363,0,0,0,0,0,0,0,13213.04,1551.69,0,0.09,176.35,420.59,230.88,193268065.8,193281278.8,115459886.8
7321,0,0,0,0,0,0,0,0,13213.04,0,0,0.03,119.85,307.02,104.33,193271458.6,193284671.7,115473099.8
7322,62.38936081,0,0,0,0,0,0,0,13213.04,281.99,0,0.03,76.36,215.54,754.11,193268534.6,193281747.7,115486312.8
7323,83.9031941,0,0,0,0,0,0,0,13213.04,261.67,0,0,0,0,0,193270765.7,193283978.8,115499525.9
7324,83.64340876,0,0,0,0,0,0,0,13213.04,261.65,0,0,1.53,8.5,5.64,193269993.4,193283206.4,115512738.9
7325,1521.091401,0,0,0,0,0,0,0,13213.04,8252.34,0,0.08,22.68,71.86,170.11,193268456.7,193281669.7,115525952
7326,87.76360429,0,0,0,0,0,0,0,13213.04,261.73,0,0,30.13,85.12,37.25,193268714.1,193281927.1,115539165
7327,0,0,0,0,0,0,0,0,13213.04,0,0,0.02,85.2,184.84,155.56,193261801.5,193275014.5,115552378
7328,0.45151122,0,0,0,0,0,0,0,13213.04,76.92,0,0.04,99.17,270.87,437.71,193259127.7,193272340.7,115565591.1
7329,3099.169316,0,0,0,0,0,0,0,13213.04,17286.15,0,0.01,13.95,52.01,126.27,193257989.9,193271203,115578804.1
7330,0,0,0,0,0,0,0,0,13213.04,0,0,0,13.45,34.2,11.25,193271239.6,193284452.7,115592017.2
7331,0,0,0,0,0,0,0,0,13213.04,0,0,0,0,0,0,193282837.5,193296050.6,115605230.2
7332,0,0,0,0,0,0,0,0,13213.04,0,0,0,1.31,2.47,0.06,193269116.3,193282329.3,115618443.2
7333,26.42536504,0,0,0,0,0,0,0,13213.04,162.97,0,0.09,242.51,557.5,203.3,193261498.5,193274711.5,115631656.3
7334,12.77293678,0,0,0,0,0,0,0,13213.04,83.12,0,0.13,239.29,600.29,151.52,193256379,193269592,115644869.3
7335,0,0,0,0,0,0,0,0,13213.04,5.43,0,0.04,107.47,245.51,102.86,193257624.3,193270837.3,115658082.4
7336,10.46230719,0,0,0,0,0,0,0,13213.04,69.84,0,0.02,59.21,176.98,35.29,193251823,193265036,115671295.4
7337,110.4956806,0,0,0,0,0,0,0,13213.04,332.21,0,0,11.97,42.73,6.05,193255639,193268852,115684508.4
7338,97.29403355,0,0,0,0,0,0,0,13213.04,278.01,0,0,21.32,81.77,90.79,193268168.6,193281381.6,115697721.5
7339,0,0,0,0,0,0,0,0,13213.04,0,0,0,1.29,2.52,0.06,193268359.1,193281572.1,115710934.5
7340,0,0,0,0,0,0,0,0,13213.04,0,0,0.01,40.93,145.5,14.19,193265006.7,193278219.8,115724147.6
7341,0,0,0,0,0,0,0,0,13213.04,0,0,0.04,87.62,259.92,46.13,193248884.5,193262097.5,115737360.6
